	Isample	g1	g2	Kr	KAW	AW0	Var
5270	    0.2496	    0.1500	    0.1240	    1.4770	   29.6090	    0.1830
5271	    0.2496	    0.1500	    0.1240	    1.4770	   29.6090	    0.1810
5272	    0.2496	    0.1050	    0.1240	    1.4770	   29.6090	    0.1810
5273	    0.2286	    0.1050	    0.1240	    1.4770	   29.6090	    0.1810
5274	    0.2286	    0.1250	    0.1240	    1.4770	   29.6090	    0.1810
5275	    0.2286	    0.1250	    0.1240	    1.4770	   29.6510	    0.1810
5276	    0.2286	    0.1250	    0.0760	    1.4770	   29.6510	    0.1810
5277	    0.2286	    0.1250	    0.0760	    1.4770	   29.6510	    0.1790
5278	    0.2286	    0.1250	    0.1250	    1.4770	   29.6510	    0.1790
5279	    0.2116	    0.1250	    0.1250	    1.4770	   29.6510	    0.1790
5280	    0.2116	    0.1250	    0.1250	    1.4410	   29.6510	    0.1790
5281	    0.2116	    0.1250	    0.1250	    1.4410	   29.6370	    0.1790
5282	    0.2116	    0.1250	    0.0850	    1.4410	   29.6370	    0.1790
5283	    0.2116	    0.1250	    0.0850	    1.4410	   29.6740	    0.1790
5284	    0.2116	    0.1250	    0.0850	    1.4380	   29.6740	    0.1790
5285	    0.2116	    0.1250	    0.0850	    1.4150	   29.6740	    0.1790
5286	    0.2116	    0.1250	    0.0850	    1.4170	   29.6740	    0.1790
5287	    0.2116	    0.1250	    0.0850	    1.4170	   29.6740	    0.1420
5288	    0.2116	    0.1250	    0.0850	    1.4170	   29.6740	    0.1010
5289	    0.2336	    0.1250	    0.0850	    1.4170	   29.6740	    0.1010
5290	    0.2336	    0.1250	    0.0850	    1.4170	   29.6740	    0.1350
5291	    0.2336	    0.1250	    0.1020	    1.4170	   29.6740	    0.1350
5292	    0.2336	    0.1250	    0.1020	    1.4170	   29.7090	    0.1350
5293	    0.2336	    0.1250	    0.1330	    1.4170	   29.7090	    0.1350
5294	    0.1896	    0.1250	    0.1330	    1.4170	   29.7090	    0.1350
5295	    0.1896	    0.0910	    0.1330	    1.4170	   29.7090	    0.1350
5296	    0.1896	    0.0910	    0.1330	    1.4170	   29.7090	    0.1350
5297	    0.1896	    0.1390	    0.1330	    1.4170	   29.7090	    0.1350
5298	    0.1896	    0.1390	    0.1330	    1.4170	   29.7090	    0.1760
5299	    0.1896	    0.1390	    0.1330	    1.4170	   29.7090	    0.1650
5300	    0.1896	    0.1390	    0.1330	    1.4440	   29.7090	    0.1650
5301	    0.1896	    0.1390	    0.1330	    1.4670	   29.7090	    0.1650
5302	    0.1896	    0.1390	    0.1330	    1.4670	   29.7090	    0.1340
5303	    0.1896	    0.1390	    0.1330	    1.4670	   29.6970	    0.1340
5304	    0.1896	    0.0940	    0.1330	    1.4670	   29.6970	    0.1340
5305	    0.1896	    0.1250	    0.1330	    1.4670	   29.6970	    0.1340
5306	    0.1896	    0.1390	    0.1330	    1.4670	   29.6970	    0.1340
5307	    0.1866	    0.1390	    0.1330	    1.4670	   29.6970	    0.1340
5308	    0.2146	    0.1390	    0.1330	    1.4670	   29.6970	    0.1340
5309	    0.2146	    0.1390	    0.1330	    1.4670	   29.6970	    0.1120
5310	    0.2526	    0.1390	    0.1330	    1.4670	   29.6970	    0.1120
5311	    0.2336	    0.1390	    0.1330	    1.4670	   29.6970	    0.1120
5312	    0.2336	    0.1390	    0.1330	    1.4600	   29.6970	    0.1120
5313	    0.2196	    0.1390	    0.1330	    1.4600	   29.6970	    0.1120
5314	    0.2196	    0.1640	    0.1330	    1.4600	   29.6970	    0.1120
5315	    0.2196	    0.1640	    0.1330	    1.4600	   29.6970	    0.1120
5316	    0.2196	    0.1640	    0.1330	    1.4600	   29.6970	    0.0640
5317	    0.2226	    0.1640	    0.1330	    1.4600	   29.6970	    0.0640
5318	    0.2226	    0.1640	    0.1330	    1.4600	   29.6960	    0.0640
5319	    0.2296	    0.1640	    0.1330	    1.4600	   29.6960	    0.0640
5320	    0.2296	    0.1400	    0.1330	    1.4600	   29.6960	    0.0640
5321	    0.2296	    0.1400	    0.1330	    1.4680	   29.6960	    0.0640
5322	    0.2296	    0.1400	    0.1330	    1.4680	   29.6960	    0.0640
5323	    0.2296	    0.1400	    0.1330	    1.4680	   29.6480	    0.0640
5324	    0.2296	    0.1400	    0.1330	    1.4590	   29.6480	    0.0640
5325	    0.2296	    0.1400	    0.1330	    1.4590	   29.6170	    0.0640
5326	    0.2296	    0.1400	    0.1330	    1.4590	   29.6170	    0.0640
5327	    0.2296	    0.1400	    0.1330	    1.4590	   29.6170	    0.1110
5328	    0.2296	    0.1400	    0.1330	    1.4590	   29.6170	    0.0820
5329	    0.2296	    0.1400	    0.1330	    1.4590	   29.5750	    0.0820
5330	    0.2296	    0.1400	    0.0920	    1.4590	   29.5750	    0.0820
5331	    0.2296	    0.1400	    0.0920	    1.4590	   29.6160	    0.0820
5332	    0.2296	    0.1010	    0.0920	    1.4590	   29.6160	    0.0820
5333	    0.2296	    0.1010	    0.0810	    1.4590	   29.6160	    0.0820
5334	    0.2296	    0.1010	    0.0810	    1.4680	   29.6160	    0.0820
5335	    0.2296	    0.1010	    0.0810	    1.4680	   29.6160	    0.0820
5336	    0.2296	    0.1010	    0.0810	    1.4680	   29.6160	    0.0420
5337	    0.2296	    0.1010	    0.0810	    1.4680	   29.6160	    0.0812
5338	    0.2296	    0.1010	    0.0810	    1.4680	   29.6160	    0.0912
5339	    0.2296	    0.1010	    0.0810	    1.4910	   29.6160	    0.0912
5340	    0.2296	    0.1010	    0.0810	    1.4910	   29.6160	    0.0912
5341	    0.2296	    0.0610	    0.0810	    1.4910	   29.6160	    0.0912
5342	    0.2346	    0.0610	    0.0810	    1.4910	   29.6160	    0.0912
5343	    0.2346	    0.0610	    0.0810	    1.4910	   29.6160	    0.0912
5344	    0.2346	    0.0610	    0.0810	    1.4910	   29.6160	    0.0412
5345	    0.2346	    0.0610	    0.0810	    1.4910	   29.6160	    0.0412
5346	    0.2346	    0.0610	    0.0810	    1.4910	   29.6260	    0.0412
5347	    0.2346	    0.0610	    0.0810	    1.4910	   29.6260	    0.0050
5348	    0.2346	    0.0610	    0.0810	    1.4910	   29.6260	    0.0050
5349	    0.2346	    0.0610	    0.0810	    1.4910	   29.6180	    0.0050
5350	    0.2346	    0.0630	    0.0810	    1.4910	   29.6180	    0.0050
5351	    0.2346	    0.0630	    0.0810	    1.4910	   29.6180	    0.0050
5352	    0.2346	    0.0630	    0.0810	    1.4750	   29.6180	    0.0050
5353	    0.2346	    0.0630	    0.0810	    1.4750	   29.6180	    0.0050
5354	    0.2346	    0.0630	    0.0810	    1.4750	   29.6180	    0.0050
5355	    0.2346	    0.0630	    0.0810	    1.4750	   29.6180	    0.0050
5356	    0.2346	    0.0630	    0.0810	    1.4750	   29.6180	    0.0050
