coordx	coordy	rank
863014.0810	4493814.5418	359
863014.0810	4494314.5418	360
863014.0810	4494814.5418	362
863014.0810	4495314.5418	363
863514.0810	4470314.5418	349
863514.0810	4470814.5418	348
863514.0810	4471314.5418	348
863514.0810	4471814.5418	347
863514.0810	4472314.5418	347
863514.0810	4472814.5418	347
863514.0810	4473314.5418	347
863514.0810	4473814.5418	345
863514.0810	4474314.5418	345
863514.0810	4474814.5418	345
863514.0810	4475314.5418	345
863514.0810	4475814.5418	345
863514.0810	4476314.5418	345
863514.0810	4476814.5418	345
863514.0810	4477314.5418	348
863514.0810	4477814.5418	348
863514.0810	4478314.5418	348
863514.0810	4478814.5418	348
863514.0810	4479314.5418	348
863514.0810	4479814.5418	348
863514.0810	4480314.5418	348
863514.0810	4480814.5418	348
863514.0810	4481314.5418	351
863514.0810	4481814.5418	351
863514.0810	4482314.5418	351
863514.0810	4482814.5418	358
863514.0810	4483314.5418	357
863514.0810	4483814.5418	356
863514.0810	4484314.5418	355
863514.0810	4484814.5418	355
863514.0810	4485314.5418	354
863514.0810	4485814.5418	354
863514.0810	4486314.5418	353
863514.0810	4486814.5418	353
863514.0810	4487314.5418	352
863514.0810	4487814.5418	352
863514.0810	4488314.5418	353
863514.0810	4488814.5418	354
863514.0810	4489314.5418	354
863514.0810	4489814.5418	353
863514.0810	4490314.5418	352
863514.0810	4490814.5418	353
863514.0810	4491314.5418	354
863514.0810	4491814.5418	355
863514.0810	4492314.5418	357
863514.0810	4492814.5418	358
863514.0810	4493314.5418	359
863514.0810	4493814.5418	360
863514.0810	4494314.5418	361
863514.0810	4494814.5418	363
863514.0810	4495314.5418	363
863514.0810	4495814.5418	364
864014.0810	4436314.5418	301
864014.0810	4436814.5418	301
864014.0810	4437814.5418	301
864014.0810	4438314.5418	301
864014.0810	4442314.5418	303
864014.0810	4442814.5418	303
864014.0810	4469814.5418	350
864014.0810	4470314.5418	349
864014.0810	4470814.5418	348
864014.0810	4471314.5418	347
864014.0810	4471814.5418	346
864014.0810	4472314.5418	346
864014.0810	4472814.5418	346
864014.0810	4473314.5418	347
864014.0810	4473814.5418	344
864014.0810	4474314.5418	344
864014.0810	4474814.5418	344
864014.0810	4475314.5418	344
864014.0810	4475814.5418	344
864014.0810	4476314.5418	344
864014.0810	4476814.5418	345
864014.0810	4477314.5418	347
864014.0810	4477814.5418	347
864014.0810	4478314.5418	347
864014.0810	4478814.5418	347
864014.0810	4479314.5418	347
864014.0810	4479814.5418	347
864014.0810	4480314.5418	347
864014.0810	4480814.5418	349
864014.0810	4481314.5418	350
864014.0810	4481814.5418	350
864014.0810	4482314.5418	351
864014.0810	4482814.5418	358
864014.0810	4483314.5418	357
864014.0810	4483814.5418	356
864014.0810	4484314.5418	355
864014.0810	4484814.5418	354
864014.0810	4485314.5418	353
864014.0810	4485814.5418	353
864014.0810	4486314.5418	352
864014.0810	4486814.5418	352
864014.0810	4487314.5418	351
864014.0810	4487814.5418	351
864014.0810	4488314.5418	352
864014.0810	4488814.5418	351
864014.0810	4489314.5418	351
864014.0810	4489814.5418	351
864014.0810	4490314.5418	351
864014.0810	4490814.5418	352
864014.0810	4491314.5418	355
864014.0810	4491814.5418	356
864014.0810	4492314.5418	358
864014.0810	4492814.5418	360
864014.0810	4493314.5418	360
864014.0810	4493814.5418	360
864014.0810	4494314.5418	361
864014.0810	4494814.5418	362
864014.0810	4495314.5418	364
864014.0810	4498314.5418	365
864014.0810	4498814.5418	365
864014.0810	4499314.5418	367
864514.0810	4435314.5418	301
864514.0810	4435814.5418	300
864514.0810	4436314.5418	300
864514.0810	4436814.5418	300
864514.0810	4437314.5418	300
864514.0810	4437814.5418	300
864514.0810	4438314.5418	300
864514.0810	4438814.5418	300
864514.0810	4439314.5418	301
864514.0810	4440314.5418	303
864514.0810	4440814.5418	302
864514.0810	4441314.5418	303
864514.0810	4441814.5418	302
864514.0810	4442314.5418	302
864514.0810	4442814.5418	302
864514.0810	4443314.5418	302
864514.0810	4443814.5418	302
864514.0810	4469814.5418	350
864514.0810	4470314.5418	349
864514.0810	4470814.5418	348
864514.0810	4471314.5418	347
864514.0810	4471814.5418	346
864514.0810	4472314.5418	345
864514.0810	4472814.5418	345
864514.0810	4473314.5418	345
864514.0810	4473814.5418	343
864514.0810	4474314.5418	343
864514.0810	4474814.5418	343
864514.0810	4475314.5418	343
864514.0810	4475814.5418	343
864514.0810	4476314.5418	344
864514.0810	4476814.5418	343
864514.0810	4477314.5418	343
864514.0810	4477814.5418	346
864514.0810	4478314.5418	346
864514.0810	4478814.5418	346
864514.0810	4479314.5418	346
864514.0810	4479814.5418	346
864514.0810	4480314.5418	347
864514.0810	4480814.5418	348
864514.0810	4481314.5418	349
864514.0810	4481814.5418	350
864514.0810	4482314.5418	347
864514.0810	4482814.5418	347
864514.0810	4483314.5418	347
864514.0810	4483814.5418	356
864514.0810	4484314.5418	355
864514.0810	4484814.5418	354
864514.0810	4485314.5418	353
864514.0810	4485814.5418	352
864514.0810	4486314.5418	351
864514.0810	4486814.5418	351
864514.0810	4487314.5418	350
864514.0810	4487814.5418	350
864514.0810	4488314.5418	350
864514.0810	4488814.5418	350
864514.0810	4489314.5418	350
864514.0810	4489814.5418	350
864514.0810	4490314.5418	351
864514.0810	4490814.5418	352
864514.0810	4491314.5418	353
864514.0810	4491814.5418	357
864514.0810	4492314.5418	357
864514.0810	4492814.5418	357
864514.0810	4493314.5418	361
864514.0810	4493814.5418	361
864514.0810	4494314.5418	361
864514.0810	4494814.5418	362
864514.0810	4495314.5418	363
864514.0810	4495814.5418	365
864514.0810	4496314.5418	364
864514.0810	4496814.5418	364
864514.0810	4497314.5418	364
864514.0810	4497814.5418	364
864514.0810	4498314.5418	364
864514.0810	4498814.5418	364
864514.0810	4499314.5418	366
864514.0810	4499814.5418	366
