dt	dushikou	gangfangyao	maying	maoyupu	hulonggou	yunzhousk	zhenanpu	zhenningpu	yangtian	zhuanlou	paoliang	longguan	tianjiayao	dongshanmiao	diaoe	shangzhuangzi	nanbuzi	xiapu	baihepu	wanquansi	shicao	qianjiadian	heilongshan	qingyanggou	baichao	sidaogou	dongwankou	qiansongtai	hedaziying	dongmao	sandaoying	sihai	baoshansi	daodekeng	dengjiashanzi	sandaohe	labagoumen	xiaoliangqian	changshaoying	tanghekou	qifengcha	liulimiao	zhangjiafen
1990-3-23	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	9.8	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0.3	0	0	1.5	0	0.5	0	0	0.6
1990-3-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-3-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-3-26	0	3.2	3.0	1.1	1.8	2.2	4.1	3.6	1.9	1.6	2.1	1.5	2.3	1.8	1.5	1.6	1.9	1.7	7.0	1.1	1.8	1.3	1.1	1.6	2.4	1.2	2.1	1.7	2.0	1.5	1.1	2.2	0	0	2.2	1.2	0	0	0	0.8	0	0	1.4
1990-3-27	0.9	0.8	0	0.2	0	0	0.4	0	0	0.8	0	0	0.2	0	0.5	0	0	0.6	2.6	0.4	0.5	0.3	0	0.2	0.4	0	0.4	0	0.2	0.7	0.6	1.3	0	1.9	0.6	1.5	0	1.9	0	0.7	0	0	1.1
1990-3-28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0
1990-3-29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-3-30	0	0.3	0	0.1	0	0	1.4	0	1.7	1.4	2.1	4.9	4.5	0.9	1.5	0.5	2.8	0.8	0	1.8	6.0	2.6	1.4	5.0	4.0	0.4	0.7	7.5	1.2	4.0	4.3	0	0	4.0	0.7	4.0	3.7	2.8	8.0	6.6	0	0	6.5
1990-3-31	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-4-1	0	0	0	0	0	0	0	0	0	0	0	0	0	4.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-4-2	0	0.8	0	0.1	0	1.6	0.7	1.9	2.2	1.2	1.3	3.5	7.1	0	3.0	2.4	1.6	0.7	1.0	1.9	1.7	1.0	1.2	1.5	0.7	2.6	1.8	1.7	1.7	1.3	0.4	1.4	0	3.0	3.4	4.8	4.0	3.8	6.0	6.3	0	0	8.3
1990-4-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.3	0
1990-4-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-4-5	0	0.5	0	0	0.5	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-4-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-4-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-4-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-4-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-4-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-4-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-4-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
